dist,angle,x,y
586.6082985866859,1093.6049122188658,61.79094713656387,1241
579.877013403294,1097.1889761232912,62.14303230543318,1241
571.7383586169218,1098.0706941203869,62.49511747430249,1238
566.3490070304737,1104.232675768833,62.8472026431718,1241
559.1019080428616,1106.79946531557,63.199287812041106,1240
553.626247215023,1112.9002553664052,63.551372980910415,1243
545.4573598398086,1113.5871176502471,63.90345814977972,1240
540.34149328291,1120.5208925481018,64.25554331864906,1244
531.7304233392186,1120.2065688503596,64.60762848751837,1240
524.8367069302112,1123.4529055811158,64.95971365638768,1240
517.9231719184303,1126.6568190846547,65.31179882525699,1240
512.2263456901387,1132.5516194774198,65.6638839941263,1243
505.25713711272346,1135.6778704353867,66.0159691629956,1243
499.47142897028846,1141.5096546426482,66.36805433186491,1246
492.4474140283069,1144.5573574167584,66.72013950073422,1246
485.40480355069246,1147.561840028638,67.07222466960353,1246
479.4955742234652,1153.2931085808625,67.42430983847284,1249
472.7777492354164,1157.143551953643,67.77639500734215,1250
466.40322095345823,1161.8829697883689,68.12848017621145,1252
459.2546362039667,1164.7270835372387,68.48056534508076,1252
452.08870932674984,1167.5272154854779,68.83265051395007,1252
444.90571091770164,1170.2832598960024,69.18473568281938,1252
437.70591221736345,1172.9951126965389,69.53682085168869,1252
430.489585100679,1175.6626714835531,69.888906020558,1252
423.2570020667305,1178.2858355261187,70.2409911894273,1252
416.0084362284461,1180.864505769719,70.59307635829661,1252
410.0500531914341,1187.1794109896373,70.94516152716592,1256
401.46445159792097,1185.8879770463905,71.29724669603523,1252
394.16958200784114,1188.3325883858288,71.64933186490457,1252
386.8598279970116,1190.7323265461985,72.00141703377388,1252
378.9291789062001,1191.181210972316,72.35350220264318,1250
363.27831838464164,1166.7531287258787,72.7055873715125,1222
212.14572551866783,696.4037558371997,73.0576725403818,728
179.30979856308542,601.8571226954664,73.40975770925111,628
175.6079969693314,602.947619118294,73.76184287812042,628
171.89956416040184,604.0153473558962,74.11392804698973,628
167.91683023557115,604.09679532641,74.46601321585904,627
163.93959660629682,604.1521403293749,74.81809838472834,626
160.22398231431472,605.1481434255105,75.17018355359765,626
156.50231773008315,606.1212952413998,75.52226872246696,626
153.26284161079806,609.0110847771027,75.87435389133627,628
149.75565596083823,610.9126316485354,76.22643906020558,629
145.9987662071193,611.8213466903545,76.57852422907489,629
142.68862521271618,614.6551522885861,76.9306093979442,631
138.90887107504403,615.5203697170848,77.2826945668135,631
135.12387153494242,616.3623441948805,77.63477973568281,631
131.12563359319967,616.2029440166461,77.98686490455212,630
127.53870814863416,617.9764380004933,78.33895007342143,631
123.73883072930686,618.7484963777641,78.69103524229074,631
119.93428075049285,619.4971899055411,79.04312041116005,631
116.49326907845159,622.1883302179617,79.39520558002938,633
113.02369825088391,624.8604993386069,79.74729074889869,635
109.35373211241213,626.528340359067,80.099375917768,636
105.5016465408614,627.1884904693063,80.45146108663731,636
252.5157417841592,1559.6909309703624,80.80354625550662,1580
246.92419013442958,1586.9040438307718,81.15563142437593,1606
239.23545886088547,1602.237933399288,81.50771659324523,1620
229.38517897258427,1603.677785488006,81.85980176211454,1620
220.2037872786523,1610.0109602323016,82.21188693098385,1625
211.21203539508417,1618.2748456625857,82.56397209985316,1632
202.00367788715624,1625.496390066758,82.91605726872247,1638
192.01117758846894,1626.7070134726441,83.26814243759178,1638
183.12260753745963,1637.7942821394515,83.62022760646109,1648
173.15990213423993,1639.883120314634,83.9723127753304,1649
163.37622793765496,1643.9015202088183,84.3243979441997,1652
153.45691584814017,1646.8658035730712,84.67648311306901,1654
143.8539710695082,1653.7551315135906,85.02856828193832,1660
134.09159598780187,1659.5916497396113,85.38065345080763,1665
124.4117248016636,1667.3649038923288,85.73273861967694,1672
114.29996629448853,1670.0932661696108,86.08482378854625,1674
104.47010696457981,1677.7505764418052,86.43690895741555,1681
94.21435913529494,1679.3592988198582,86.78899412628489,1682
83.99265979167443,1681.904049909245,87.1410792951542,1684
74.00567078474144,1690.380773876614,87.49316446402351,1692
63.91766119827215,1698.7979669716299,87.84524963289282,1700
53.76044465156486,1708.154212766185,88.19733480176212,1709
43.31343979970705,1710.4516789236454,88.54941997063143,1711
32.89774075174177,1715.6846268045392,88.90150513950074,1716
