dist,angle,x,y,sample
233.11650331960982,-42.72816261013747,-10.386512481644644,237,0
264.8851702862888,-46.870529785823486,-10.034427312775335,269,0
280.9402743613059,-47.93289310895153,-9.682342143906027,285,0
288.1369096249249,-47.34048280064162,-9.330256975036718,292,0
291.3856205754262,-46.03716022816536,-8.978171806167396,295,0
297.5951468355846,-45.145637440475426,-8.626086637298087,301,0
297.8669482689715,-43.31606086580184,-8.274001468428779,301,0
298.127501810111,-41.484848613225665,-7.92191629955947,301,0
304.3245078716836,-40.44247653961836,-7.569831130690162,307,0
314.48803964257684,-39.82804190227052,-7.217745961820853,317,0
300.8272371481198,-36.22117322546136,-6.8656607929515445,303,0
308.99249670819694,-35.279412949125145,-6.513575624082236,311,0
312.186124918275,-33.70197929664041,-6.1614904552129275,314,0
309.40273718641834,-31.479298301457437,-5.809405286343619,311,0
306.6039339829447,-29.292109281888184,-5.4573201174743105,308,0
309.7662441036929,-27.674428881032593,-5.105234948604988,311,0
312.92013788904865,-26.018979678280555,-4.753149779735679,314,0
338.00039969747917,-26.014030913034915,-4.401064610866371,339,0
338.1538743984725,-23.936525004729948,-4.048979441997062,339,0
338.2945799138802,-21.85811521818137,-3.6968942731277536,339,0
348.40547585465816,-20.362327825894518,-3.344809104258445,349,0
358.510386075587,-18.74308074819996,-2.9927239353891366,359,0
344.6336594868684,-15.894676740633857,-2.640638766519828,345,0
358.71365894356995,-14.335650920561195,-2.2885535976505196,359,0
358.79497883894504,-12.131082390330342,-1.936468428781211,359,0
370.8581623703557,-10.257845937762989,-1.5843832599118883,371,0
388.91003177528694,-8.36583436037819,-1.2322980910425798,389,0
388.9540969778519,-5.975821629180377,-0.8802129221732713,389,0
368.98432433363365,-3.401234489392554,-0.5281277533039628,369,0
368.9982582483307,-1.1337591005989303,-0.17604258443465426,369,0
343.9983762531864,1.0569461534038807,0.17604258443465426,344,0
341.9854713336117,3.1523636730955378,0.5281277533039628,342,0
331.96082312762684,5.1001870973981625,0.8802129221732713,332,0
327.9241399030697,7.053968303866444,1.2322980910425798,328,0
320.87727795386576,8.87538691650113,1.5843832599118883,321,0
316.8189646015197,10.711847124609164,1.9364684287811968,317,0
315.7479560617496,12.618567384115146,2.2885535976505196,316,0
315.66445332710265,14.558602463884924,2.640638766519828,316,0
315.5690306403496,16.498087789501916,2.9927239353891366,316,0
306.4770231730088,17.911847113322686,3.344809104258445,307,0
306.3611682405936,19.794812306730623,3.6968942731277536,307,0
305.2362406074708,21.606420800729687,4.048979441997062,306,0
304.1006545950771,23.40495406629985,4.401064610866371,305,0
303.95108935082754,25.273212744826655,4.753149779735679,305,0
270.92095947332626,24.204002108169984,5.105234948604988,272,0
270.7671105303927,25.868356248940145,5.457320117474296,272,0
269.6081729180687,27.430513954003036,5.809405286343605,271,0
269.43452182437113,29.086740093597296,6.1614904552129275,271,0
244.4120713511783,27.90590220413114,6.513575624082236,246,0
244.2359747143151,29.407289153344863,6.8656607929515445,246,0
244.0506553693183,30.907565640247782,7.217745961820853,246,0
6.762629792634858,1.8074397051540667,14.963619676945669,7,0
1264.2138015093017,354.58773818816684,15.667790014684286,1313,0
1264.8944862441692,363.1775580471611,16.019875183553594,1316,0
1262.6388755570797,370.9434861700008,16.371960352422903,1316,0
1260.3355857766828,378.69540692348795,16.72404552129221,1316,0
1260.8524501640115,387.31395393841495,17.07613069016152,1319,0
1259.4026904246634,395.3540986901735,17.42821585903083,1320,0
1256.9494583666192,403.0856721738722,17.780301027900137,1320,0
1254.4487620559942,410.80202455219666,18.132386196769446,1320,0
1086.877422369291,363.33657776762004,18.484471365638754,1146,0
1081.7848652425107,369.03997795935743,18.836556534508063,1143,0
1069.1078301820467,372.06511183317895,19.1886417033774,1132,0
1063.9740900810962,377.62433136134615,19.540726872246708,1129,0
1053.170520005509,381.0929752584347,19.892812041116017,1120,0
1047.9941499892425,386.5194194194194,20.244897209985325,1117,0
1025.9415592774753,385.56441348664777,20.596982378854634,1096,0
1021.6850955687422,391.1464757513355,20.949067547723942,1094,0
1012.7404202296422,394.8744626246269,21.30115271659325,1087,0
997.2827162558165,395.9244673639414,21.65323788546256,1073,0
992.9766301998732,401.2959155995791,22.005323054331868,1071,0
990.4919159558275,407.3901869536795,22.357408223201176,1071,0
985.2023768793139,412.31089797790963,22.709493392070485,1068,0
980.8099535092699,417.5737480938473,23.061578560939793,1066,0
971.8018223676656,420.81138060048244,23.4136637298091,1059,0
961.8759793229032,423.55117801938167,23.76574889867841,1051,0
951.953437265525,426.1849988893933,24.11783406754772,1043,0
943.8554808068126,429.541419831593,24.469919236417027,1037,0
934.8448109421959,432.394703314518,24.822004405286336,1030,0
932.1700920084281,438.1311670778498,25.174089574155644,1030,0
924.0458418619918,441.2655460576576,25.526174743024953,1024,0
921.316815431958,446.9354825948768,25.87825991189426,1024,0
918.552998729536,452.5885421936542,26.23034508076357,1024,0
910.3887471197862,455.53960213977643,26.582430249632907,1018,0
901.3315906508487,457.95454326255003,26.934515418502215,1011,0
897.6117146117939,463.02614374533493,27.286600587371524,1010,0
894.7494682573348,468.5332315356263,27.638685756240832,1010,0
891.8534348524295,474.02262682484195,27.99077092511014,1010,0
884.5231112617018,477.12038904653707,28.34285609397945,1005,0
868.4166743969145,475.34459040721555,28.694941262848758,990,0
862.8566178361609,479.2154599513056,29.047026431718066,987,0
842.4711157712753,474.6908668713802,29.399111600587375,967,0
839.5382307091262,479.85889506998825,29.751196769456683,967,0
836.5736434537279,485.00880309387696,30.103281938325992,967,0
833.577465952237,490.1403964749765,30.4553671071953,967,0
829.690918054793,494.7413268541399,30.80745227606461,966,0
825.7793341998038,499.3130192659998,31.159537444933918,965,0
820.9903926846137,503.3326684406289,31.511622613803226,963,0
817.8819091297041,508.36815667225903,31.863707782672535,963,0
816.4346336609646,514.4506671770255,32.21579295154184,965,0
811.5724073105374,518.3813535344218,32.56787812041115,963,0
808.3716273023103,523.3586840519746,32.91996328928046,963,0
805.1403219974279,528.3162517790628,33.27204845814977,963,0
800.2132372705476,532.146384838787,33.62413362701908,961,0
796.9280855212174,537.0536532856725,33.976218795888386,961,0
793.6128406001301,541.9406417999969,34.32830396475772,961,0
792.7346442234568,548.5141601161353,34.68038913362703,964,0
793.4431876809143,556.2453666528372,35.03247430249634,969,0
790.0100753486847,561.1105780927369,35.38455947136565,969,0
788.1705513700798,567.1227221272169,35.73664464023496,971,0
783.0544856373937,570.7772529832954,36.088729809104265,969,0
778.7278000437736,574.9843592994375,36.440814977973574,968,0
775.1798143121658,579.7587907767817,36.79290014684288,968,0
764.4285659426716,579.0768235483358,37.14498531571219,959,0
760.8557019705609,583.7633088666032,37.4970704845815,959,0
367.1774345592491,285.3168967139668,37.84915565345081,465,0
310.40818268563106,244.27803855812311,38.201240822320116,395,0
288.56849244601455,229.97657525807807,38.553325991189425,369,0
282.4807334179784,227.97726914681866,38.90541116005873,363,0
277.97723868434406,227.17758422306372,39.25749632892804,359,0
276.57598247749644,228.8814669574791,39.60958149779735,359,0
278.23017965290484,233.14580658959378,39.96166666666666,363,0
276.7922439035002,234.85113096356434,40.31375183553597,363,0
274.5853330540664,235.89594076962715,40.665837004405276,362,0
273.13056652888054,237.5788156120254,41.017922173274584,362,0
267.9132004725487,235.94812356226942,41.37000734214389,357,0
266.45823925849805,237.58999711953572,41.72209251101323,357,0
257.5704370260406,232.52197739184666,42.07417767988254,347,0
253.92228623956322,232.07643687128885,42.42626284875185,344,0
252.49138072514637,233.63240926615723,42.778348017621155,344,0
253.240338505615,237.23054388834828,43.130433186490464,347,0
255.4056956576777,242.22289451168257,43.48251835535977,352,0
253.91241208451453,243.78779089491678,43.83460352422908,352,0
252.40954040676974,245.34348149409485,44.18668869309839,352,0
248.0460335412714,244.08434043265143,44.5387738619677,348,0
240.87383077840553,239.95790807167836,44.89085903083701,340,0
239.39473993450102,241.4335488114538,45.242944199706315,340,0
237.90660919457903,242.90007266680232,45.595029368575624,340,0
236.409494752636,244.35742425963525,45.94711453744493,340,0
235.59434565114688,246.52850605398135,46.29919970631424,341,0
234.76141500468339,248.69876964914567,46.65128487518355,342,0
237.32045896522177,254.5250474050373,47.00337004405286,348,0
237.10681613395266,257.44971886335395,47.355455212922166,350,0
236.19322428722117,259.64160067448057,47.707540381791475,351,0
234.59326539229525,261.08810741314915,48.05962555066078,351,0
244.26859496193532,275.2396292602539,48.41171071953009,368,0
242.5726336068414,276.7354647041847,48.7637958883994,368,0
240.86751235381038,278.2208502116385,49.11588105726871,368,0
828.5881844515368,969.0544982545132,49.467966226138046,1275,0
822.6176936476852,974.1278817987724,49.820051395007354,1275,0
816.616139594847,979.1644808474261,50.17213656387666,1275,0
809.947996960556,983.392211795265,50.52422173274597,1274,0
802.6277594179052,986.799209470596,50.87630690161528,1272,0
